commune,city_label,wikidata_id,type_label,continent,contientLabel,pays,paysLabel,communauteAutonome,province_label,coordonnees,latitude,longitude,elevation,pointCulminant,pointCulminantLabel,superficie,population
http://www.wikidata.org/entity/Q11125,Lugo,Q11125,city,http://www.wikidata.org/entity/Q20547073,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.557222222 43.011666666),43.011666666,-7.557222222,465,,,332000000,100143
http://www.wikidata.org/entity/Q11125,Lugo,Q11125,city,http://www.wikidata.org/entity/Q20547000,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.557222222 43.011666666),43.011666666,-7.557222222,465,,,332000000,100143
http://www.wikidata.org/entity/Q11125,Lugo,Q11125,city,http://www.wikidata.org/entity/Q20546941,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.557222222 43.011666666),43.011666666,-7.557222222,465,,,332000000,100143
http://www.wikidata.org/entity/Q11125,Lugo,Q11125,city,http://www.wikidata.org/entity/Q20546314,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.557222222 43.011666666),43.011666666,-7.557222222,465,,,332000000,100143
http://www.wikidata.org/entity/Q11125,Lugo,Q11125,city,http://www.wikidata.org/entity/Q20546069,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.557222222 43.011666666),43.011666666,-7.557222222,465,,,332000000,100143
http://www.wikidata.org/entity/Q11125,Lugo,Q11125,city,http://www.wikidata.org/entity/Q20545304,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.557222222 43.011666666),43.011666666,-7.557222222,465,,,332000000,100143
http://www.wikidata.org/entity/Q11125,Lugo,Q11125,city,http://www.wikidata.org/entity/Q20544723,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.557222222 43.011666666),43.011666666,-7.557222222,465,,,332000000,100143
http://www.wikidata.org/entity/Q11125,Lugo,Q11125,city,http://www.wikidata.org/entity/Q20544653,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.557222222 43.011666666),43.011666666,-7.557222222,465,,,332000000,100143
http://www.wikidata.org/entity/Q11125,Lugo,Q11125,city,http://www.wikidata.org/entity/Q20544416,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.557222222 43.011666666),43.011666666,-7.557222222,465,,,332000000,100143
http://www.wikidata.org/entity/Q11125,Lugo,Q11125,city,http://www.wikidata.org/entity/Q20544063,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.557222222 43.011666666),43.011666666,-7.557222222,465,,,332000000,100143
http://www.wikidata.org/entity/Q11125,Lugo,Q11125,city,http://www.wikidata.org/entity/Q20543107,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.557222222 43.011666666),43.011666666,-7.557222222,465,,,332000000,100143
http://www.wikidata.org/entity/Q11125,Lugo,Q11125,city,http://www.wikidata.org/entity/Q20542810,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.557222222 43.011666666),43.011666666,-7.557222222,465,,,332000000,100143
http://www.wikidata.org/entity/Q11125,Lugo,Q11125,city,http://www.wikidata.org/entity/Q20542679,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.557222222 43.011666666),43.011666666,-7.557222222,465,,,332000000,100143
http://www.wikidata.org/entity/Q11125,Lugo,Q11125,city,http://www.wikidata.org/entity/Q20542351,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.557222222 43.011666666),43.011666666,-7.557222222,465,,,332000000,100143
http://www.wikidata.org/entity/Q11125,Lugo,Q11125,city,http://www.wikidata.org/entity/Q12400964,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.557222222 43.011666666),43.011666666,-7.557222222,465,,,332000000,100143
http://www.wikidata.org/entity/Q11125,Lugo,Q11125,city,http://www.wikidata.org/entity/Q12400064,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.557222222 43.011666666),43.011666666,-7.557222222,465,,,332000000,100143
http://www.wikidata.org/entity/Q11125,Lugo,Q11125,city,http://www.wikidata.org/entity/Q12400001,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.557222222 43.011666666),43.011666666,-7.557222222,465,,,332000000,100143
http://www.wikidata.org/entity/Q11125,Lugo,Q11125,city,http://www.wikidata.org/entity/Q12399977,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.557222222 43.011666666),43.011666666,-7.557222222,465,,,332000000,100143
http://www.wikidata.org/entity/Q11125,Lugo,Q11125,city,http://www.wikidata.org/entity/Q12399914,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.557222222 43.011666666),43.011666666,-7.557222222,465,,,332000000,100143
