espace,space_label,wikidata_id,type_label,communaute_label,province_label,coordonnees,area,visiteurs,climatLabel
http://www.wikidata.org/entity/Q3108464,Estrecho,Q3108464,parque natural,Andalucía,,Point(-5.64083333 36.03111111),19177.29,,
http://www.wikidata.org/entity/Q2307815,Parque Natural Montes de Málaga,Q2307815,parque natural,Andalucía,provincia de Málaga,Point(-4.36667 36.8333),4992.85,,
http://www.wikidata.org/entity/Q2307815,Parque Natural Montes de Málaga,Q2307815,parque natural,Andalucía,provincia de Málaga,Point(-4.36667 36.8333),4995.60433,,
http://www.wikidata.org/entity/Q114568291,Parque Natural de La Algaida-Los Toruños,Q114568291,parque natural,Andalucía,,Point(-6.21036998 36.548198488),,,
http://www.wikidata.org/entity/Q1755523,"Parque Natural de las Sierras de Segura, Cazorla y las Villas",Q1755523,parque natural,Andalucía,provincia de Jaén,Point(-2.75 38.08333333),2143,
http://www.wikidata.org/entity/Q1755523,"Parque Natural de las Sierras de Segura, Cazorla y las Villas",Q1755523,parque natural,Andalucía,provincia de Jaén,Point(-2.75 38.08333333),209674.30631,
http://www.wikidata.org/entity/Q3364597,"Parque natural de las Sierras de Tejeda, Almijara y Alhama",Q3364597,parque natural,Andalucía,provincia de Granada,Point(-3.86667 36.83333),40657.29509,
http://www.wikidata.org/entity/Q3364597,"Parque natural de las Sierras de Tejeda, Almijara y Alhama",Q3364597,parque natural,Andalucía,provincia de Málaga,Point(-3.86667 36.83333),40657.29509,
http://www.wikidata.org/entity/Q21480903,Pinar de La Algaida,Q21480903,parque natural,Andalucía,,Point(-6.315 36.846388888),,,
http://www.wikidata.org/entity/Q3820256,Sierra de Baza,Q3820256,parque natural,Andalucía,provincia de Granada,Point(-2.83333333 37.38333333),53649.50487,,
http://www.wikidata.org/entity/Q3820256,Sierra de Baza,Q3820256,parque natural,Andalucía,provincia de Granada,Point(-2.83333333 37.38333333),53649.51,,
http://www.wikidata.org/entity/Q14475858,Sierra de Huétor,Q14475858,parque natural,Andalucía,provincia de Granada,Point(-3.532104 37.247958),12128.58119,,
http://www.wikidata.org/entity/Q115114738,parc naturel de Doñana,Q115114738,parque natural,Andalucía,provincia de Cádiz,Point(-6.630686 37.134151),68236.4,,
http://www.wikidata.org/entity/Q115114738,parc naturel de Doñana,Q115114738,parque natural,Andalucía,provincia de Huelva,Point(-6.630686 37.134151),68236.4,,
http://www.wikidata.org/entity/Q115114738,parc naturel de Doñana,Q115114738,parque natural,Andalucía,provincia de Sevilla,Point(-6.630686 37.134151),68236.4,,
http://www.wikidata.org/entity/Q3058149,Acantilados de Maro-Cerro Gordo,Q3058149,reserva natural,Andalucía,,Point(-3.781555 36.746302),1912.85016,,
http://www.wikidata.org/entity/Q5804064,Desembocadura del Guadalhorce,Q5804064,reserva natural,Andalucía,,Point(-4.456688795 36.673853466),82.92801,,
http://www.wikidata.org/entity/Q97120066,Paraje Natural de Sierra Alhamilla,Q97120066,reserva natural,Andalucía,provincia de Almería,,8099.81543,,
http://www.wikidata.org/entity/Q6061040,Paraje natural Alto Guadalquivir,Q6061040,reserva natural,Andalucía,provincia de Jaén,,830.48,,
http://www.wikidata.org/entity/Q6061040,Paraje natural Alto Guadalquivir,Q6061040,reserva natural,Andalucía,provincia de Jaén,,830.48189,,
http://www.wikidata.org/entity/Q5980284,Paraje natural de Los Reales de Sierra Bermeja,Q5980284,reserva natural,Andalucía,provincia de Málaga,Point(-5.200166666 36.483277777),1212.78945,,
http://www.wikidata.org/entity/Q5980284,Paraje natural de Los Reales de Sierra Bermeja,Q5980284,reserva natural,Andalucía,provincia de Málaga,Point(-5.200166666 36.483277777),1212.79,,
http://www.wikidata.org/entity/Q6061057,Paraje natural playa de los Lances,Q6061057,reserva natural,Andalucía,,Point(-5.625 36.0325),240.35303,,
http://www.wikidata.org/entity/Q124316433,Pinar Caslanco,Q124316433,reserva natural,Andalucía,,Point(-6.122106414 36.337278111),20,,
http://www.wikidata.org/entity/Q1013353,Torcal de Antequera,Q1013353,reserva natural,Andalucía,,Point(-4.54555556 36.96361111),2180,,
http://www.wikidata.org/entity/Q1013353,Torcal de Antequera,Q1013353,reserva natural,Andalucía,,Point(-4.54555556 36.96361111),2182.13938,,
http://www.wikidata.org/entity/Q1013353,Torcal de Antequera,Q1013353,reserva natural,Andalucía,,Point(-4.54555556 36.96361111),2182.14,,
http://www.wikidata.org/entity/Q741610,Parque Nacional de Ordesa y Monte Perdido,Q741610,parque nacional,Aragón,provincia de Huesca,Point(0.055555555 42.671666666),156,,
http://www.wikidata.org/entity/Q741610,Parque Nacional de Ordesa y Monte Perdido,Q741610,parque nacional,Aragón,provincia de Huesca,Point(0.055555555 42.671666666),15690.61287,,
http://www.wikidata.org/entity/Q6063148,Los Valles,Q6063148,parque natural,Aragón,,Point(-0.688019 42.83468783),27047.90163,,
http://www.wikidata.org/entity/Q3107614,Parque natural de la Sierra y los Cañones de Guara,Q3107614,parque natural,Aragón,,Point(-0.11 42.27),47453,109532,
http://www.wikidata.org/entity/Q3107614,Parque natural de la Sierra y los Cañones de Guara,Q3107614,parque natural,Aragón,,Point(-0.11 42.27),47637.65027,109532,
http://www.wikidata.org/entity/Q48890845,Parque natural del Monasterio de Piedra,Q48890845,parque natural,Aragón,,Point(-1.781177 41.191224),,,
http://www.wikidata.org/entity/Q3331303,Parque natural del Moncayo,Q3331303,parque natural,Aragón,provincia de Zaragoza,Point(-1.75231883 41.72930483),,,
http://www.wikidata.org/entity/Q50260691,Laguna de Gallocanta,Q50260691,reserva natural,Aragón,,,,,
http://www.wikidata.org/entity/Q48567,Parque nacional de Picos de Europa,Q48567,parque nacional,Asturias,provincia de León,Point(-4.84 43.21),66104.90139,,
http://www.wikidata.org/entity/Q48567,Parque nacional de Picos de Europa,Q48567,parque nacional,Asturias,provincia de León,Point(-4.84 43.21),67127,,
http://www.wikidata.org/entity/Q9056022,Parque natural de Ponga,Q9056022,parque natural,Asturias,,Point(-5.1282998 43.1383747),20533,,
http://www.wikidata.org/entity/Q5794112,Cueva Rosa,Q5794112,reserva natural,Asturias,,,127.02036,,
http://www.wikidata.org/entity/Q1480521,Parque Nacional de Timanfaya,Q1480521,parque nacional,Canarias,Las Palmas,Point(-13.779722222 29.011388888),51,1748149,
http://www.wikidata.org/entity/Q1480521,Parque Nacional de Timanfaya,Q1480521,parque nacional,Canarias,Las Palmas,Point(-13.779722222 29.011388888),5176.63693,1748149,
http://www.wikidata.org/entity/Q464942,Parque nacional de Garajonay,Q464942,parque nacional,Canarias,provincia de Santa Cruz de Tenerife,Point(-17.23722222 28.12625),39.5,,
http://www.wikidata.org/entity/Q464942,Parque nacional de Garajonay,Q464942,parque nacional,Canarias,provincia de Santa Cruz de Tenerife,Point(-17.23722222 28.12625),3704.64343,,
http://www.wikidata.org/entity/Q23988114,Parque nacional de la Caldera de Taburiente,Q23988114,parque nacional,Canarias,provincia de Santa Cruz de Tenerife,Point(-17.884719444 28.753927777),4.69,389024,
http://www.wikidata.org/entity/Q23988114,Parque nacional de la Caldera de Taburiente,Q23988114,parque nacional,Canarias,provincia de Santa Cruz de Tenerife,Point(-17.884719444 28.753927777),4397.87981,389024,
